n,f_n,f_log_n,f_n_log_n,f_n_squared,f_2_pow_n,f_factorial_n
0,0,0,0,0,1,1
1,1,0,0,1,2,1
2,2,0.693147,1.38629,4,4,2
3,3,1.09861,3.29584,9,8,6
4,4,1.38629,5.54518,16,16,24
5,5,1.60944,8.04719,25,32,120
6,6,1.79176,10.7506,36,64,500
7,7,1.94591,13.6214,49,128,500
8,8,2.07944,16.6355,64,256,500
9,9,2.19722,19.775,81,500,500
10,10,2.30259,23.0259,100,500,500
11,11,2.3979,26.3768,121,500,500
12,12,2.48491,29.8189,144,500,500
13,13,2.56495,33.3443,169,500,500
14,14,2.63906,36.9468,196,500,500
15,15,2.70805,40.6208,225,500,500
16,16,2.77259,44.3614,256,500,500
17,17,2.83321,48.1646,289,500,500
18,18,2.89037,52.0267,324,500,500
19,19,2.94444,55.9443,361,500,500
20,20,2.99573,59.9146,400,500,500
21,21,3.04452,63.935,441,500,500
22,22,3.09104,68.0029,484,500,500
23,23,3.13549,72.1164,500,500,500
24,24,3.17805,76.2733,500,500,500
25,25,3.21888,80.4719,500,500,500
26,26,3.2581,84.7105,500,500,500
27,27,3.29584,88.9876,500,500,500
28,28,3.3322,93.3017,500,500,500
29,29,3.3673,97.6516,500,500,500
30,30,3.4012,102.036,500,500,500
31,31,3.43399,106.454,500,500,500
32,32,3.46574,110.904,500,500,500
33,33,3.49651,115.385,500,500,500
34,34,3.52636,119.896,500,500,500
35,35,3.55535,124.437,500,500,500
36,36,3.58352,129.007,500,500,500
37,37,3.61092,133.604,500,500,500
38,38,3.63759,138.228,500,500,500
39,39,3.66356,142.879,500,500,500
40,40,3.68888,147.555,500,500,500
41,41,3.71357,152.256,500,500,500
42,42,3.73767,156.982,500,500,500
43,43,3.7612,161.732,500,500,500
44,44,3.78419,166.504,500,500,500
45,45,3.80666,171.3,500,500,500
46,46,3.82864,176.118,500,500,500
47,47,3.85015,180.957,500,500,500
48,48,3.8712,185.818,500,500,500
49,49,3.89182,190.699,500,500,500
50,50,3.91202,195.601,500,500,500
